,Latitude,Longitude
5304225,40.754552969,-73.76770701
5304257,40.671103472,-73.878141696
5304262,40.671246534,-73.866093853
5304398,40.778060006,-73.950065738
5304407,40.671568322,-73.916068187
5304422,40.695769360999996,-73.86229051699999
5304629,40.601985578000004,-73.99620221800001
5304675,40.70536214,-73.876643587
5304707,40.648421119,-73.90489710899999
5304765,40.685376663,-73.96123336699999
5304827,40.673245965,-73.964989625
5304865,40.830230691,-73.901493496
5304877,40.838510995,-73.84796564199999
5304880,40.706787845,-73.833910894
5304953,40.837424157,-73.918533245
5304964,40.867902134,-73.89563833300001
5304976,40.702099496,-73.831827156
5305003,40.620285504,-73.95048274199999
5305016,40.836288335,-73.927489736
5305041,40.703817745,-73.828125988
5305079,40.783798071999996,-73.809488995
5305081,40.733915621,-73.71982459600001
5305119,40.743523694000004,-73.97973437899999
5305137,40.731667158,-73.718495412
5305241,40.666003723,-73.98233162300001
5305254,40.833450977,-73.943407506
5305312,40.825148285,-73.94947035199999
5305313,40.825148285,-73.94947035199999
5305314,40.825148285,-73.94947035199999
5305339,40.638498981,-74.027860835
5305427,40.735832986999995,-73.959320433
5305664,40.732828332,-73.986062857
5305695,40.607115663,-74.00077214699999
5305710,40.729063366999995,-73.999142738
5305806,40.681242296,-73.790251266
5305887,40.661774156,-73.898094614
5305928,40.757222363000004,-73.819036486
5306068,40.7574165,-73.994193665
5306071,40.694612855,-73.809624827
5306078,40.719667058,-73.984777725
5306125,40.880041958,-73.912167105
5306148,40.883382579,-73.902333309
5306266,40.884296097,-73.908465471
5306270,40.761596626999996,-73.992186259
5306287,40.681136404,-73.77071369800001
5306303,40.608846607,-73.984648124
5306353,40.809003282,-73.94242767
5306403,40.685230875,-73.969277667
5306479,40.719096997,-73.949359554
5306506,40.853659938,-73.895704056
5306526,40.766491796,-73.726088212
5306585,40.868723823,-73.925252465
5306618,40.707346181,-73.954782364
5306672,40.770938934,-73.830566621
5306965,40.592765713,-73.994150365
5307064,40.621028597,-73.916088511
5307094,40.690722343000004,-73.96635071
5307145,40.752808485,-73.762898255
5307174,40.698563765,-73.920783801
5307316,40.684673782,-73.941276646
5307339,40.814805596,-73.82524907
5307359,40.6817188,-73.866902083
5307378,40.623891086,-73.962094014
5307446,40.693686299,-73.956930051
5307465,40.85204748,-73.888430195
5307518,40.701110582,-73.829420496
5307582,40.857010331,-73.883310302
5307646,40.72868924,-73.986056506
5307664,40.829788065,-73.88040582100001
5307706,40.799998559,-73.95661566300001
5307752,40.81305566,-73.888018698
5307776,40.834049692,-73.899590638
5307785,40.689095496,-73.870612218
5307789,40.713034527,-73.939458903
5307896,40.668219951,-73.938133382
5308414,40.653781156,-73.931108247
5308440,40.875947355,-73.833036352
5308520,40.675080704,-73.96928955199999
5308526,40.808061135,-73.922481314
